County,State,Value,Category Range
Douglas,WI,362.2,106.1 - 380.0 (648)
Meade,SD,362.3,106.1 - 380.0 (648)
Greeley,NE,362.3,106.1 - 380.0 (648)
Essex,VT,362.4,106.1 - 380.0 (648)
Guanica,PR,362.5,106.1 - 380.0 (648)
Grant,OR,362.5,106.1 - 380.0 (648)
Pope,MN,362.7,106.1 - 380.0 (648)
Clay,KS,362.7,106.1 - 380.0 (648)
Guayanilla,PR,362.7,106.1 - 380.0 (648)
Kittitas,WA,362.7,106.1 - 380.0 (648)
Hudspeth,TX,362.8,106.1 - 380.0 (648)
Haakon,SD,362.8,106.1 - 380.0 (648)
Johnson,NE,362.8,106.1 - 380.0 (648)
Chase,NE,362.9,106.1 - 380.0 (648)
Livingston,NY,362.9,106.1 - 380.0 (648)
Solano,CA,362.9,106.1 - 380.0 (648)
Skagit,WA,362.9,106.1 - 380.0 (648)
Clallam,WA,363,106.1 - 380.0 (648)
Imperial,CA,363,106.1 - 380.0 (648)
Gwinnett,GA,363,106.1 - 380.0 (648)
Cameron,TX,363.1,106.1 - 380.0 (648)
Morgan,CO,363.3,106.1 - 380.0 (648)
Pima,AZ,363.3,106.1 - 380.0 (648)
Pennington,SD,363.4,106.1 - 380.0 (648)
Bernalillo,NM,363.6,106.1 - 380.0 (648)
Whatcom,WA,363.8,106.1 - 380.0 (648)
Yamhill,OR,364.3,106.1 - 380.0 (648)
Hettinger,ND,364.3,106.1 - 380.0 (648)
Apache,AZ,364.3,106.1 - 380.0 (648)
Woodbury,IA,364.3,106.1 - 380.0 (648)
Sullivan,NH,364.5,106.1 - 380.0 (648)
Dunn,WI,364.5,106.1 - 380.0 (648)
Thurston,WA,364.7,106.1 - 380.0 (648)
Colfax,NE,364.8,106.1 - 380.0 (648)
El Paso,CO,364.8,106.1 - 380.0 (648)
Ada,ID,364.9,106.1 - 380.0 (648)
Otoe,NE,364.9,106.1 - 380.0 (648)
Tillamook,OR,364.9,106.1 - 380.0 (648)
Yavapai,AZ,365.1,106.1 - 380.0 (648)
Sterling,TX,365.1,106.1 - 380.0 (648)
Pendleton,WV,365.5,106.1 - 380.0 (648)
Penuelas,PR,365.5,106.1 - 380.0 (648)
Ziebach,SD,365.6,106.1 - 380.0 (648)
Richland,ND,365.6,106.1 - 380.0 (648)
Koochiching,MN,365.6,106.1 - 380.0 (648)
Columbia,WA,365.8,106.1 - 380.0 (648)
Prince George,VA,365.8,106.1 - 380.0 (648)
Poquoson,VA,365.9,106.1 - 380.0 (648)
Pine,MN,365.9,106.1 - 380.0 (648)
Aitkin,MN,365.9,106.1 - 380.0 (648)
Platte,MO,365.9,106.1 - 380.0 (648)
Gilliam,OR,365.9,106.1 - 380.0 (648)
Cibola,NM,366.2,106.1 - 380.0 (648)
Huerfano,CO,366.3,106.1 - 380.0 (648)
Wabasha,MN,366.6,106.1 - 380.0 (648)
Howard,NE,366.8,106.1 - 380.0 (648)
Hartford,CT,366.9,106.1 - 380.0 (648)
El Paso,TX,366.9,106.1 - 380.0 (648)
Idaho,ID,367,106.1 - 380.0 (648)
Butler,NE,367,106.1 - 380.0 (648)
Adams,CO,367.1,106.1 - 380.0 (648)
Navajo,AZ,367.1,106.1 - 380.0 (648)
Roseau,MN,367.2,106.1 - 380.0 (648)
